model,subject,condition,mu_r2,beta_r2
cbramod,1,clean,0.24039284267000405,-0.592835951828778
cbramod,3,clean,0.16495450844445347,0.5217174906858784
cbramod,6,clean,-0.30739161725586106,-0.011003199542690911
cbramod,8,clean,-0.018866063556688184,-2.4798332121008384
cbramod,9,clean,-0.37166108690911015,0.4126248019439953
cbramod,11,clean,-0.31209564614768825,-0.7963757965192033
cbramod,12,clean,0.02528567192800013,-0.22856090682236418
cbramod,14,clean,0.18239809036400956,0.028126719002541267
cbramod,15,clean,-0.2558835108090636,0.13021455261842518
cbramod,16,clean,0.23385384524023956,-1.6489191173856286
cbramod,17,clean,-1.6331014335249479,0.2634419617410828
cbramod,18,clean,-1.0547951213496538,0.14145665505968863
cbramod,19,clean,0.023122628769970066,0.3458736092166179
cbramod,21,clean,0.27205103707230693,0.6996310260821821
cbramod,22,clean,-0.2318119380812047,0.14559872601111024
cbramod,25,clean,-0.323085618107672,-0.21342138960239287
cbramod,26,clean,0.04963278005457883,0.5257589247260261
cbramod,29,clean,0.09877866438579341,0.44941560812832326
cbramod,1,frozen_erased,-0.13250675767465192,-1.3755730411144396
cbramod,3,frozen_erased,-0.2529085521131136,-0.058626511939123604
cbramod,6,frozen_erased,-0.11236028203064552,-2.288907207067428
cbramod,8,frozen_erased,-0.008449600051361417,-1.2372890927170364
cbramod,9,frozen_erased,-0.10239367669542676,-3.06424465164032
cbramod,11,frozen_erased,-0.15408076938735626,-0.2620889142531717
cbramod,12,frozen_erased,-0.2509183376543187,-1.5256897370404903
cbramod,14,frozen_erased,-0.29216720675956465,-0.06861979732754797
cbramod,15,frozen_erased,-0.19826102724397998,-0.39920725926604805
cbramod,16,frozen_erased,-0.00015656939059693897,-6.331345627012317
cbramod,17,frozen_erased,-2.013779340160064,-0.9711260296204689
cbramod,18,frozen_erased,-0.4469871886826109,-0.024503751642590776
cbramod,19,frozen_erased,-0.08444166283573118,-0.15707521606628871
cbramod,21,frozen_erased,-0.30303364656977494,-0.13180615232062798
cbramod,22,frozen_erased,-1.4247087570214685,-0.0009986104349546387
cbramod,25,frozen_erased,-0.30597851507354124,-0.02494575237003427
cbramod,26,frozen_erased,-0.19270936026177887,-0.09614005439530149
cbramod,29,frozen_erased,-0.06443457591217538,-0.0005174887251708782
cbramod,1,recovered,0.06003317163678357,-0.4847414415466085
cbramod,3,recovered,0.019030559863305596,0.5763140877696188
cbramod,6,recovered,-0.4940387952837004,-1.3674860596847949
cbramod,8,recovered,-0.09615772174784443,-1.007660761619182
cbramod,9,recovered,-0.3627944349498029,-0.29672666959811234
cbramod,11,recovered,-0.13953842104605574,-1.2479504775209107
cbramod,12,recovered,-0.03431637876730975,-0.9333797632393139
cbramod,14,recovered,0.12242977380632081,0.10967470510477306
cbramod,15,recovered,-0.4863975651747243,0.006730584250515537
cbramod,16,recovered,0.23456236249622797,-1.5495161374223185
cbramod,17,recovered,-2.3677609660099446,-0.6065246337898278
cbramod,18,recovered,-0.34248396457191643,-0.6527377197074697
cbramod,19,recovered,-0.1585289693100298,0.05977485088900858
cbramod,21,recovered,0.16196704945369722,0.5810455877091887
cbramod,22,recovered,-0.5997025266714064,-0.04639596388057554
cbramod,25,recovered,-0.02694103500710132,-0.4037004807207696
cbramod,26,recovered,0.2181882689882646,0.460412395551147
cbramod,29,recovered,-0.08540446054093831,-0.03338563708741482
cbramod,1,random_31,0.24324061507364436,-0.5678104735098743
cbramod,3,random_31,0.15783793240765465,0.5181032745539054
cbramod,6,random_31,-0.2811182140965751,-0.036768068401302534
